math_500: 100 items, temp 0, thinking off, url=http://127.0.0.1:8081/v1/chat/completions
  [0] FAIL  pred='\\dfrac{4}{9}' ref='\\frac{4}{9}'
  [42] PASS  pred='46' ref='46'
  [43] FAIL  pred='x = 11' ref='11'
  [44] PASS  pred='1' ref='1'
  [45] FAIL  pred='\\dfrac{3\\sqrt{3}}{4}' ref='\\frac{3\\sqrt{3}}{4}'
  [46] PASS  pred='11' ref='11'
  [47] FAIL  pred='(p, q, r) = (6, 46, 11)' ref='(6,31,-1)'
  [48] PASS  pred='898' ref='898'
  [49] FAIL  pred='\\dfrac{6}{5}' ref='\\frac65'
  [50] FAIL  pred='\\dfrac{17}{21}' ref='\\frac{17}{21}'
  [51] PASS  pred='-2' ref='-2'
  [52] PASS  pred='10080' ref='10080'
  [53] FAIL  pred='\\dfrac{448}{15625}' ref='\\frac{448}{15625}'
  [54] PASS  pred='12' ref='12'
  [55] PASS  pred='103' ref='103'
  [56] FAIL  pred='\\dfrac{639}{40}' ref='\\frac{639}{40}'
  [57] PASS  pred='15' ref='15'
  [58] FAIL  pred='$$23(110592) - 1863(2304) + 41448(48) - 229068 = 2543616 - 4292352 + 1989504 - 229068 = 117' ref='1 \\pm \\sqrt{19}'
  [59] FAIL  pred='\\dfrac{13}{18}' ref='\\frac{13}{18}'
  [60] FAIL  pred='x = 83' ref='83'
  [61] PASS  pred='8' ref='8'
  [62] FAIL  pred='(1, -16, -4, 43)' ref='(1,-16,-4,43)'
  [63] PASS  pred='720' ref='720'
  [64] PASS  pred='7' ref='7'
  [65] PASS  pred='3' ref='3'
  [66] PASS  pred='12' ref='12'
  [67] PASS  pred='29' ref='29'
  [68] PASS  pred='28' ref='28'
  [69] PASS  pred='4495' ref='4495'
  [70] PASS  pred='1030' ref='1030'
  [71] FAIL  pred='(-1, 6)' ref='(-1,6)'
  [72] PASS  pred='23' ref='23'
  [73] PASS  pred='18' ref='18'
  [74] PASS  pred='-4' ref='-4'
  [75] PASS  pred='9' ref='9'
  [76] FAIL  pred='\\dfrac{1997}{2}' ref='\\frac{1997}{2}'
  [77] PASS  pred='1' ref='1'
  [78] FAIL  pred='\\dfrac{2}{21}' ref='\\frac{2}{21}'
  [79] FAIL  pred='4210_5' ref='4210_{5}'
  [80] PASS  pred='0' ref='0'
  [81] FAIL  pred='n = 8' ref='8'
  [82] PASS  pred='4' ref='4'
  [83] PASS  pred='326.5' ref='326.5'
  [84] FAIL  pred='\\dfrac{11}{2}' ref='\\frac{11}{2}'
  [85] PASS  pred='17' ref='17'
  [86] PASS  pred='58' ref='58'
  [87] PASS  pred='27' ref='27'
  [88] PASS  pred='1' ref='1'
  [89] FAIL  pred='\\dfrac{1}{8}' ref='\\frac{1}{8}'
  [90] PASS  pred='3' ref='3'
  [91] PASS  pred='1+2i' ref='1+2i'
  [92] PASS  pred='90' ref='90'
  [93] PASS  pred='16' ref='16'
  [94] PASS  pred='3' ref='3'
  [95] PASS  pred='20' ref='20'
  [96] PASS  pred='143' ref='143'
  [97] PASS  pred='4' ref='4'
  [98] PASS  pred='6' ref='6'
  [99] PASS  pred='-1' ref='-1'

math_500: 66/100 = 66.0%  (gate 86%)
saved results/quality/math500-20260830-2103.json
